temp_avg,temp_min,temp_max,temp_observ,precip,wind,casual,registered,total_cust,holiday,rain,fog,ice,year,season_spring,season_summer,season_fall,dayOfWeek_Friday,dayOfWeek_Monday,dayOfWeek_Saturday,dayOfWeek_Sunday,dayOfWeek_Thursday,dayOfWeek_Tuesday,dayOfWeek_Wednesday,total_cust_log,total_cust_diff
10.38,6.24,14.52,6.68,1.97,4.2,203.0,1898.0,2101.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,0,0,1,7.650168700845001,-0.2385408233370141
6.28,3.26,9.3,3.88,7.92,3.82,166.0,1678.0,1844.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,1,0,0,7.519692404116539,-0.13047629672846117
2.75,-1.93,7.43,-0.15,0.69,3.53,300.0,1886.0,2186.0,0.0,0,1,0,2011,1,0,0,1,0,0,0,0,0,0,7.689828668736484,0.1701362646199449
3.24,-1.75,8.22,-0.12,0.0,3.05,981.0,1477.0,2458.0,0.0,0,0,0,2011,1,0,0,0,0,1,0,0,0,0,7.80710329012598,0.11727462138949551
3.18,-1.41,7.78,-0.01,0.59,2.82,470.0,1195.0,1665.0,0.0,0,1,1,2011,1,0,0,0,0,0,1,0,0,0,7.417580402414544,-0.3895228877114354
2.81,-2.33,7.95,-0.4,0.1,3.32,222.0,1782.0,2004.0,0.0,0,0,0,2011,1,0,0,0,1,0,0,0,0,0,7.602900462204755,0.18532005979021093
3.83,-1.75,9.41,1.12,0.0,3.12,317.0,2080.0,2397.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,1,0,7.781973234434385,0.17907277222962925
5.08,0.45,9.71,3.85,0.53,2.77,168.0,1351.0,1519.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,0,0,1,7.325807502595773,-0.4561657318386114
4.87,2.11,7.63,2.84,4.42,3.15,179.0,1489.0,1668.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,1,0,0,7.419380582918692,0.09357308032291911
4.52,1.93,7.11,3.33,4.88,4.6,307.0,1885.0,2192.0,0.0,1,1,0,2011,0,1,0,1,0,0,0,0,0,0,7.692569648067906,0.2731890651492135
5.28,0.66,9.89,3.69,0.47,3.32,897.0,1328.0,2225.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,7.707512194600341,0.014942546532434875
7.57,2.54,12.6,5.35,1.79,3.68,1651.0,1561.0,3212.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.074649075066652,0.36713688046631177
13.29,5.67,20.91,14.99,0.42,5.9,734.0,2345.0,3079.0,0.0,1,0,0,2011,0,1,0,0,1,0,0,0,0,0,8.0323601479245,-0.04228892714215249
18.06,8.78,27.33,12.67,7.41,6.32,167.0,1601.0,1768.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,1,0,7.477604243197589,-0.5547559047269113
8.8,0.59,17.01,4.65,3.46,4.22,413.0,2363.0,2776.0,0.0,0,1,0,2011,0,1,0,0,0,0,0,0,0,1,7.9287663216266955,0.4511620784291068
10.91,3.66,18.16,7.77,0.0,3.15,570.0,2431.0,3001.0,0.0,0,1,0,2011,0,1,0,0,0,0,0,1,0,0,8.006700845440367,0.0779345238136715
11.59,6.15,17.04,7.0,2.54,3.55,172.0,1282.0,1454.0,0.0,1,1,0,2011,0,1,0,1,0,0,0,0,0,0,7.282073658093465,-0.7246271873469023
8.44,5.36,11.52,6.52,8.69,2.0,879.0,1549.0,2428.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,7.794823152179389,0.5127494940859245
10.3,7.23,13.37,9.77,0.19,2.82,1188.0,1662.0,2850.0,0.0,0,1,0,2011,0,1,0,0,0,0,1,0,0,0,7.955074273262696,0.16025112108330664
16.68,10.59,22.77,17.48,0.01,5.25,854.0,2450.0,3304.0,0.0,1,1,0,2011,0,1,0,0,1,0,0,0,0,0,8.102889134640868,0.14781486137817268
20.41,13.86,26.97,16.66,1.87,5.15,257.0,1740.0,1997.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,1,0,7.599401333415815,-0.5034878012250532
12.91,9.31,16.5,9.77,13.02,4.13,208.0,1920.0,2128.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,0,1,7.662937850461535,0.06353651704572005
11.45,5.8,17.1,9.55,1.5,1.9,527.0,2683.0,3210.0,0.0,0,1,0,2011,0,1,0,0,0,0,0,1,0,0,8.07402621612406,0.4110883656625255
13.43,6.86,19.99,10.11,0.01,4.82,642.0,2441.0,3083.0,1.0,0,0,0,2011,0,1,0,1,0,0,0,0,0,0,8.03365842788615,-0.04036778823791032
13.4,8.45,18.35,10.67,3.83,6.7,121.0,654.0,775.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,6.652863029353347,-1.3807953985328032
13.01,8.06,17.97,10.11,26.31,4.8,1555.0,2123.0,3678.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.210124405164267,1.5572613758109197
14.76,8.34,21.18,12.4,0.01,2.72,668.0,2701.0,3369.0,0.0,0,0,0,2011,0,1,0,0,1,0,0,0,0,0,8.122371243406553,-0.08775316175771408
17.01,11.31,22.7,14.94,0.35,2.58,409.0,2730.0,3139.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,1,0,8.051659556841953,-0.07071168656460003
17.62,10.67,24.57,16.23,1.72,4.25,612.0,3286.0,3898.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,0,1,8.268218880067506,0.21655932322555316
17.5,9.57,25.44,10.9,0.0,5.3,743.0,3249.0,3992.0,0.0,0,0,0,2011,0,1,0,0,0,0,0,1,0,0,8.292047637431354,0.02382875736384804
10.8,6.0,15.61,6.95,1.11,4.1,177.0,1471.0,1648.0,0.0,1,1,0,2011,0,1,0,1,0,0,0,0,0,0,7.4073177104694174,-0.8847299269619366
10.72,5.97,15.47,9.95,10.72,3.38,1460.0,2510.0,3970.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,8.286521373681236,0.8792036632118183
18.03,10.71,25.35,16.99,2.2,2.78,1708.0,2408.0,4116.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.32263709695394,0.036115723272704514
22.5,15.45,29.55,20.35,10.16,3.08,772.0,3249.0,4021.0,0.0,1,1,0,2011,0,1,0,0,1,0,0,0,0,0,8.299285906897275,-0.023351190056665416
24.05,18.58,29.52,21.16,0.01,5.38,675.0,3656.0,4331.0,0.0,1,0,0,2011,0,1,0,0,0,0,0,0,1,0,8.373553741214627,0.07426783431735196
24.09,19.77,28.41,20.81,0.87,5.1,545.0,3264.0,3809.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,0,1,8.245121966478605,-0.12843177473602196
22.68,18.29,27.06,22.56,6.9,4.88,568.0,3428.0,3996.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,1,0,0,8.293049139768444,0.047927173289838976
16.41,9.75,23.06,13.84,5.81,4.23,877.0,3560.0,4437.0,0.0,1,0,0,2011,0,1,0,1,0,0,0,0,0,0,8.39773375137891,0.10468461161046605
14.66,9.25,20.07,10.32,0.0,3.18,1963.0,3251.0,5214.0,0.0,0,0,0,2011,0,1,0,0,0,1,0,0,0,0,8.559102594493448,0.1613688431145377
13.47,8.59,18.34,10.82,0.21,1.27,1137.0,2158.0,3295.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.100161446936607,-0.4589411475568408
15.46,10.95,19.97,15.19,0.97,3.15,845.0,3484.0,4329.0,0.0,1,0,0,2011,0,1,0,0,1,0,0,0,0,0,8.37309184744198,0.2729304005053734
20.8,14.71,26.9,18.94,0.11,4.82,603.0,3763.0,4366.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,1,0,8.38160253710989,0.008510689667909688
16.07,7.88,24.26,8.22,12.24,5.28,252.0,2343.0,2595.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,0,1,7.861341795599989,-0.520260741509901
12.37,6.75,17.99,9.65,4.66,4.65,611.0,3727.0,4338.0,0.0,1,0,0,2011,0,1,0,0,0,0,0,1,0,0,8.37516869138682,0.5138268957868313
13.48,6.21,20.75,10.35,0.35,3.25,891.0,3645.0,4536.0,0.0,1,1,0,2011,0,1,0,1,0,0,0,0,0,0,8.419800845407588,0.0446321540207677
15.32,8.61,22.04,12.89,1.16,2.52,1605.0,3011.0,4616.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,8.437283808187935,0.017482962780347222
16.27,9.92,22.62,13.32,0.01,1.35,1400.0,2845.0,4245.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.353497098745448,-0.0837867094424869
16.61,10.21,23.0,13.73,0.05,2.78,661.0,3622.0,4283.0,0.0,0,1,0,2011,0,1,0,0,1,0,0,0,0,0,8.36240897761537,0.008911878869922063
16.29,9.05,23.53,14.05,0.0,2.05,691.0,4042.0,4733.0,0.0,0,1,0,2011,0,1,0,0,0,0,0,0,1,0,8.462314529906248,0.09990555229087761
17.85,11.93,23.77,14.93,0.0,2.7,550.0,3554.0,4104.0,0.0,1,0,0,2011,0,1,0,0,0,0,0,0,0,1,8.319717386850606,-0.1425971430556423
17.61,11.12,24.1,14.65,0.0,2.92,694.0,4076.0,4770.0,0.0,0,0,0,2011,0,1,0,0,0,0,0,1,0,0,8.470101583882387,0.15038419703178185
17.82,13.73,21.91,15.73,0.15,3.55,690.0,3348.0,4038.0,0.0,1,1,0,2011,0,1,0,1,0,0,0,0,0,0,8.303504798872783,-0.16659678500960418
16.83,14.96,18.7,15.66,1.58,2.7,899.0,2453.0,3352.0,0.0,1,1,0,2011,0,1,0,0,0,1,0,0,0,0,8.117312461601975,-0.18619233727080875
18.56,15.75,21.37,17.67,15.02,2.38,1582.0,2902.0,4484.0,0.0,1,1,0,2011,0,1,0,0,0,0,1,0,0,0,8.40827078419205,0.29095832259007537
20.04,15.0,25.09,16.93,5.96,2.28,772.0,3137.0,3909.0,0.0,1,1,0,2011,0,1,0,0,1,0,0,0,0,0,8.271036865792954,-0.1372339183990956
20.08,16.2,23.97,17.07,7.66,5.4,678.0,3389.0,4067.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,1,0,8.310660905907225,0.0396240401142709
19.39,16.55,22.23,17.67,8.5,3.12,535.0,3277.0,3812.0,0.0,1,1,0,2011,0,1,0,0,0,0,0,0,0,1,8.245909264774093,-0.0647516411331317
